step,time,hdec sparsity
0,2016-02-11T00:55:42.417560,0.505302
500,2016-02-11T00:55:56.551022,2.4e-05
1000,2016-02-11T00:56:09.835471,0.000228
1500,2016-02-11T00:56:23.245147,0.000213
2000,2016-02-11T00:56:38.694239,0.000127
2500,2016-02-11T00:56:56.078995,3.1e-05
3000,2016-02-11T00:57:14.448969,3e-05
3500,2016-02-11T00:57:33.081141,0.000104
4000,2016-02-11T00:57:51.156075,0.000207
4500,2016-02-11T00:58:09.203511,5.6e-05
5000,2016-02-11T00:58:29.978176,0.000253
5500,2016-02-11T00:58:48.988085,0.000416
6000,2016-02-11T00:59:05.403753,0.018198
6500,2016-02-11T00:59:22.109633,0.060368
7000,2016-02-11T00:59:40.740266,0.070843
7500,2016-02-11T00:59:56.611000,0.083831
8000,2016-02-11T01:00:12.854554,0.093753
8500,2016-02-11T01:00:33.869910,0.103516
9000,2016-02-11T01:00:50.458145,0.130494
9500,2016-02-11T01:01:06.602950,0.147626
10000,2016-02-11T01:01:23.433178,0.160772
10500,2016-02-11T01:01:43.384897,0.180775
11000,2016-02-11T01:01:58.796116,0.211917
11500,2016-02-11T01:02:15.020169,0.228921
12000,2016-02-11T01:02:31.636323,0.237045
12500,2016-02-11T01:02:54.179437,0.24526
13000,2016-02-11T01:03:10.403967,0.256322
13500,2016-02-11T01:03:26.904927,0.266719
14000,2016-02-11T01:03:44.573391,0.275294
14500,2016-02-11T01:04:05.734581,0.283793
15000,2016-02-11T01:04:25.694286,0.2915
15500,2016-02-11T01:04:47.050107,0.296735
16000,2016-02-11T01:05:03.339184,0.304615
16500,2016-02-11T01:05:20.314884,0.308935
17000,2016-02-11T01:05:36.878588,0.314991
17500,2016-02-11T01:05:53.176309,0.318622
18000,2016-02-11T01:06:09.768582,0.319498
18500,2016-02-11T01:06:27.619950,0.319748
19000,2016-02-11T01:06:50.774968,0.323343
19500,2016-02-11T01:07:07.109977,0.327239
20000,2016-02-11T01:07:23.466550,0.328832
20500,2016-02-11T01:07:40.002775,0.329383
21000,2016-02-11T01:07:56.552463,0.331962
21500,2016-02-11T01:08:13.032436,0.334853
22000,2016-02-11T01:08:28.810628,0.335561
22500,2016-02-11T01:08:45.447830,0.336808
23000,2016-02-11T01:09:37.931584,0.340278
23500,2016-02-11T01:09:55.452073,0.341563
24000,2016-02-11T01:10:12.097980,0.342431
24500,2016-02-11T01:10:28.616936,0.341859
25000,2016-02-11T01:10:45.454687,0.344729
25500,2016-02-11T01:11:02.618750,0.345555
26000,2016-02-11T01:11:19.686561,0.346831
26500,2016-02-11T01:11:37.034679,0.346298
27000,2016-02-11T01:11:55.376893,0.346912
27500,2016-02-11T01:12:12.308374,0.347792
28000,2016-02-11T01:14:58.581285,0.348521
28500,2016-02-11T01:15:20.840515,0.348668
29000,2016-02-11T01:15:38.637232,0.346623
29500,2016-02-11T01:15:56.125118,0.352238
30000,2016-02-11T01:16:12.740632,0.351898
30500,2016-02-11T01:16:29.350734,0.349849
31000,2016-02-11T01:16:46.885288,0.350181
