step,time,henc sparsity
0,2016-02-11T00:55:42.417477,0.537671
500,2016-02-11T00:55:56.550959,0.140596
1000,2016-02-11T00:56:09.835418,0.168366
1500,2016-02-11T00:56:23.245085,0.184838
2000,2016-02-11T00:56:38.694198,0.203149
2500,2016-02-11T00:56:56.078950,0.221949
3000,2016-02-11T00:57:14.448927,0.229711
3500,2016-02-11T00:57:33.081086,0.270143
4000,2016-02-11T00:57:51.156034,0.298622
4500,2016-02-11T00:58:09.203469,0.310716
5000,2016-02-11T00:58:29.978107,0.329055
5500,2016-02-11T00:58:48.988043,0.362139
6000,2016-02-11T00:59:05.403711,0.35957
6500,2016-02-11T00:59:22.109589,0.339169
7000,2016-02-11T00:59:40.740224,0.364515
7500,2016-02-11T00:59:56.610921,0.386189
8000,2016-02-11T01:00:12.854498,0.41551
8500,2016-02-11T01:00:33.869869,0.416796
9000,2016-02-11T01:00:50.458103,0.378423
9500,2016-02-11T01:01:06.602887,0.377172
10000,2016-02-11T01:01:23.433136,0.381982
10500,2016-02-11T01:01:43.384818,0.376279
11000,2016-02-11T01:01:58.796075,0.351293
11500,2016-02-11T01:02:15.020114,0.343456
12000,2016-02-11T01:02:31.636254,0.344448
12500,2016-02-11T01:02:54.179379,0.342075
13000,2016-02-11T01:03:10.403913,0.341615
13500,2016-02-11T01:03:26.904884,0.338724
14000,2016-02-11T01:03:44.573348,0.334104
14500,2016-02-11T01:04:05.734525,0.33111
15000,2016-02-11T01:04:25.694227,0.330945
15500,2016-02-11T01:04:47.050052,0.329533
16000,2016-02-11T01:05:03.339139,0.330127
16500,2016-02-11T01:05:20.314829,0.331579
17000,2016-02-11T01:05:36.878432,0.331174
17500,2016-02-11T01:05:53.176244,0.330401
18000,2016-02-11T01:06:09.768530,0.325761
18500,2016-02-11T01:06:27.619882,0.32312
19000,2016-02-11T01:06:50.774912,0.32034
19500,2016-02-11T01:07:07.109924,0.318384
20000,2016-02-11T01:07:23.466489,0.316344
20500,2016-02-11T01:07:40.002733,0.31426
21000,2016-02-11T01:07:56.552418,0.313225
21500,2016-02-11T01:08:13.032394,0.312957
22000,2016-02-11T01:08:28.810587,0.309598
22500,2016-02-11T01:08:45.447788,0.308123
23000,2016-02-11T01:09:37.931397,0.308775
23500,2016-02-11T01:09:55.452018,0.307165
24000,2016-02-11T01:10:12.097904,0.308044
24500,2016-02-11T01:10:28.616875,0.307892
25000,2016-02-11T01:10:45.454645,0.307439
25500,2016-02-11T01:11:02.618710,0.307786
26000,2016-02-11T01:11:19.686504,0.306801
26500,2016-02-11T01:11:37.034628,0.308399
27000,2016-02-11T01:11:55.376840,0.308335
27500,2016-02-11T01:12:12.308327,0.309184
28000,2016-02-11T01:14:58.581093,0.308773
28500,2016-02-11T01:15:20.840410,0.30885
29000,2016-02-11T01:15:38.637177,0.309169
29500,2016-02-11T01:15:56.125076,0.309302
30000,2016-02-11T01:16:12.740580,0.3093
30500,2016-02-11T01:16:29.350679,0.3097
31000,2016-02-11T01:16:46.885233,0.310845
