step,time,step time (ms)
0,2016-02-11T00:55:42.452602,33.7009429932
10,2016-02-11T00:55:42.601328,14.1761302948
20,2016-02-11T00:55:42.748646,14.9109363556
30,2016-02-11T00:55:42.891978,12.4680995941
40,2016-02-11T00:55:43.021122,13.5569572449
50,2016-02-11T00:55:43.145430,10.2918148041
60,2016-02-11T00:55:43.269809,15.6970024109
70,2016-02-11T00:55:43.420226,14.5668983459
80,2016-02-11T00:55:43.542773,10.4880332947
90,2016-02-11T00:55:43.656260,10.6000900269
100,2016-02-11T00:55:43.767688,10.3380680084
110,2016-02-11T00:55:43.927505,15.0389671326
120,2016-02-11T00:55:44.080896,12.5370025635
130,2016-02-11T00:55:44.200229,10.3371143341
140,2016-02-11T00:55:44.311340,10.8139514923
150,2016-02-11T00:55:44.429168,10.6801986694
160,2016-02-11T00:55:44.540016,10.3530883789
170,2016-02-11T00:55:44.660038,12.6309394836
180,2016-02-11T00:55:44.836476,42.2160625458
190,2016-02-11T00:55:45.069319,21.3129520416
200,2016-02-11T00:55:45.281173,22.7110385895
210,2016-02-11T00:55:45.483171,23.8239765167
220,2016-02-11T00:55:45.706006,18.0759429932
230,2016-02-11T00:55:45.881780,11.0368728638
240,2016-02-11T00:55:45.994759,9.93704795837
250,2016-02-11T00:55:46.154737,15.683889389
260,2016-02-11T00:55:46.292812,11.3019943237
270,2016-02-11T00:55:46.416905,10.1230144501
280,2016-02-11T00:55:46.530730,10.0529193878
290,2016-02-11T00:55:46.657973,12.8509998322
300,2016-02-11T00:55:46.833212,35.8200073242
310,2016-02-11T00:55:46.957233,11.9450092316
320,2016-02-11T00:55:47.074345,10.7901096344
330,2016-02-11T00:55:47.188796,10.5998516083
340,2016-02-11T00:55:47.304547,10.3490352631
350,2016-02-11T00:55:47.419305,10.4842185974
360,2016-02-11T00:55:47.538518,11.1200809479
370,2016-02-11T00:55:47.692810,15.0079727173
380,2016-02-11T00:55:47.848709,10.4298591614
390,2016-02-11T00:55:47.965877,11.4600658417
400,2016-02-11T00:55:48.078230,10.1327896118
410,2016-02-11T00:55:48.189516,10.7889175415
420,2016-02-11T00:55:48.302100,10.5590820312
430,2016-02-11T00:55:48.413605,11.0042095184
440,2016-02-11T00:55:48.525140,10.0319385529
450,2016-02-11T00:55:48.637999,10.3280544281
460,2016-02-11T00:55:48.753322,12.1831893921
470,2016-02-11T00:55:48.900453,10.8880996704
480,2016-02-11T00:55:49.013377,10.4558467865
490,2016-02-11T00:55:49.129478,10.8361244202
500,2016-02-11T00:55:56.564183,12.3291015625
510,2016-02-11T00:55:56.679448,10.6768608093
520,2016-02-11T00:55:56.793862,11.0428333282
530,2016-02-11T00:55:56.933485,11.1320018768
540,2016-02-11T00:55:57.045623,10.3149414062
