step,time,train logp
0,2016-02-11T00:55:42.452521,-543.422424316
10,2016-02-11T00:55:42.601306,-542.687988281
20,2016-02-11T00:55:42.748610,-541.795166016
30,2016-02-11T00:55:42.891953,-540.892333984
40,2016-02-11T00:55:43.021094,-539.618225098
50,2016-02-11T00:55:43.145408,-538.119750977
60,2016-02-11T00:55:43.269779,-536.489746094
70,2016-02-11T00:55:43.420135,-533.01159668
80,2016-02-11T00:55:43.542624,-527.640808105
90,2016-02-11T00:55:43.656237,-515.326416016
100,2016-02-11T00:55:43.767651,-491.264099121
110,2016-02-11T00:55:43.927467,-449.149963379
120,2016-02-11T00:55:44.080863,-406.77331543
130,2016-02-11T00:55:44.200194,-366.497070312
140,2016-02-11T00:55:44.311313,-341.593017578
150,2016-02-11T00:55:44.429134,-347.104888916
160,2016-02-11T00:55:44.539989,-315.730621338
170,2016-02-11T00:55:44.660007,-319.138000488
180,2016-02-11T00:55:44.836369,-315.617004395
190,2016-02-11T00:55:45.069281,-278.70892334
200,2016-02-11T00:55:45.281142,-283.522338867
210,2016-02-11T00:55:45.483133,-279.876281738
220,2016-02-11T00:55:45.705967,-271.213989258
230,2016-02-11T00:55:45.881751,-274.207519531
240,2016-02-11T00:55:45.994731,-273.552642822
250,2016-02-11T00:55:46.154700,-266.771728516
260,2016-02-11T00:55:46.292781,-256.611785889
270,2016-02-11T00:55:46.416876,-259.686981201
280,2016-02-11T00:55:46.530658,-274.988677979
290,2016-02-11T00:55:46.657946,-247.52784729
300,2016-02-11T00:55:46.833161,-257.663543701
310,2016-02-11T00:55:46.957197,-245.75302124
320,2016-02-11T00:55:47.074315,-251.170913696
330,2016-02-11T00:55:47.188759,-241.023284912
340,2016-02-11T00:55:47.304520,-244.688598633
350,2016-02-11T00:55:47.419279,-239.880233765
360,2016-02-11T00:55:47.538491,-240.334838867
370,2016-02-11T00:55:47.692777,-245.901275635
380,2016-02-11T00:55:47.848637,-224.699859619
390,2016-02-11T00:55:47.965856,-247.094573975
400,2016-02-11T00:55:48.078202,-234.832748413
410,2016-02-11T00:55:48.189482,-242.168395996
420,2016-02-11T00:55:48.302073,-236.305160522
430,2016-02-11T00:55:48.413568,-245.551879883
440,2016-02-11T00:55:48.525118,-241.182495117
450,2016-02-11T00:55:48.637978,-227.953491211
460,2016-02-11T00:55:48.753301,-219.207717896
470,2016-02-11T00:55:48.900419,-229.781158447
480,2016-02-11T00:55:49.013288,-239.242721558
490,2016-02-11T00:55:49.129440,-244.001815796
500,2016-02-11T00:55:56.564150,-239.936920166
510,2016-02-11T00:55:56.679413,-232.84324646
520,2016-02-11T00:55:56.793831,-215.654708862
530,2016-02-11T00:55:56.933462,-224.359085083
540,2016-02-11T00:55:57.045592,-225.54498291
550,2016-02-11T00:55:57.704268,-233.298110962
560,2016-02-11T00:55:57.830781,-242.419158936
570,2016-02-11T00:55:57.945206,-232.697357178
580,2016-02-11T00:55:58.056655,-232.725082397
590,2016-02-11T00:55:58.169510,-235.161636353
600,2016-02-11T00:55:58.282807,-226.465042114
610,2016-02-11T00:55:58.393349,-227.248168945
620,2016-02-11T00:55:58.506866,-234.153686523
630,2016-02-11T00:55:58.616797,-223.910461426
640,2016-02-11T00:55:58.728451,-232.12802124
650,2016-02-11T00:55:58.859445,-223.562133789
660,2016-02-11T00:55:59.010333,-230.505767822
670,2016-02-11T00:55:59.125128,-229.931945801
680,2016-02-11T00:55:59.238914,-225.125274658
690,2016-02-11T00:55:59.352601,-229.406967163
700,2016-02-11T00:55:59.466142,-218.956619263
710,2016-02-11T00:55:59.604365,-223.55909729
720,2016-02-11T00:55:59.716909,-219.090042114
730,2016-02-11T00:55:59.845281,-228.126937866
740,2016-02-11T00:55:59.960990,-225.272964478
750,2016-02-11T00:56:00.076577,-221.87020874
760,2016-02-11T00:56:00.195813,-229.092910767
770,2016-02-11T00:56:00.306984,-220.864212036
780,2016-02-11T00:56:00.421338,-230.39263916
790,2016-02-11T00:56:00.542885,-225.297805786
800,2016-02-11T00:56:00.658204,-227.064300537
810,2016-02-11T00:56:00.772588,-223.597579956
820,2016-02-11T00:56:00.896184,-225.864349365
830,2016-02-11T00:56:01.009985,-218.685348511
840,2016-02-11T00:56:01.152486,-218.994338989
850,2016-02-11T00:56:01.268492,-219.668304443
860,2016-02-11T00:56:01.409366,-246.775924683
870,2016-02-11T00:56:01.616733,-226.214553833
880,2016-02-11T00:56:01.820578,-213.754486084
890,2016-02-11T00:56:01.950440,-215.348083496
900,2016-02-11T00:56:02.067741,-227.723968506
910,2016-02-11T00:56:02.182668,-226.842483521
920,2016-02-11T00:56:02.298574,-213.31578064
930,2016-02-11T00:56:02.413643,-214.762268066
940,2016-02-11T00:56:02.527277,-219.801803589
950,2016-02-11T00:56:02.642397,-228.090835571
960,2016-02-11T00:56:02.761865,-224.681335449
970,2016-02-11T00:56:02.893617,-231.525726318
980,2016-02-11T00:56:03.008729,-226.598342896
990,2016-02-11T00:56:03.123486,-230.768966675
1000,2016-02-11T00:56:09.846839,-223.001937866
1010,2016-02-11T00:56:09.965297,-222.125488281
1020,2016-02-11T00:56:10.101311,-216.364959717
1030,2016-02-11T00:56:10.217320,-220.978179932
1040,2016-02-11T00:56:10.331218,-220.222854614
1050,2016-02-11T00:56:10.446451,-222.310043335
1060,2016-02-11T00:56:10.568560,-229.524642944
1070,2016-02-11T00:56:10.700257,-224.23840332
1080,2016-02-11T00:56:10.836392,-216.534790039
1090,2016-02-11T00:56:10.948587,-224.177749634
1100,2016-02-11T00:56:11.766325,-217.092681885
1110,2016-02-11T00:56:11.920211,-220.534362793
1120,2016-02-11T00:56:12.035357,-201.837387085
1130,2016-02-11T00:56:12.150577,-217.960174561
1140,2016-02-11T00:56:12.265896,-212.945541382
1150,2016-02-11T00:56:12.385868,-222.220565796
1160,2016-02-11T00:56:12.501273,-213.351623535
1170,2016-02-11T00:56:12.613385,-217.424041748
1180,2016-02-11T00:56:12.730561,-218.453552246
1190,2016-02-11T00:56:12.863774,-220.325180054
1200,2016-02-11T00:56:12.980809,-215.630004883
1210,2016-02-11T00:56:13.095677,-214.881500244
1220,2016-02-11T00:56:13.210301,-221.383636475
1230,2016-02-11T00:56:13.325767,-220.227584839
1240,2016-02-11T00:56:13.438587,-211.616546631
1250,2016-02-11T00:56:13.554605,-214.841110229
1260,2016-02-11T00:56:13.667743,-212.432266235
1270,2016-02-11T00:56:13.790936,-208.507766724
1280,2016-02-11T00:56:13.975143,-213.180297852
1290,2016-02-11T00:56:14.112997,-214.81237793
1300,2016-02-11T00:56:14.241298,-218.086425781
1310,2016-02-11T00:56:14.353703,-219.171722412
1320,2016-02-11T00:56:14.484971,-211.816894531
1330,2016-02-11T00:56:14.625241,-216.66494751
1340,2016-02-11T00:56:14.740618,-215.893630981
1350,2016-02-11T00:56:14.908400,-212.67250061
1360,2016-02-11T00:56:15.024580,-214.911499023
1370,2016-02-11T00:56:15.141202,-217.248245239
1380,2016-02-11T00:56:15.257164,-213.6222229
1390,2016-02-11T00:56:15.372681,-204.846542358
1400,2016-02-11T00:56:15.490589,-211.448318481
1410,2016-02-11T00:56:15.607381,-211.782791138
1420,2016-02-11T00:56:15.723332,-213.907531738
1430,2016-02-11T00:56:15.846238,-222.977554321
1440,2016-02-11T00:56:15.962359,-214.4556427
1450,2016-02-11T00:56:16.146199,-215.415023804
1460,2016-02-11T00:56:16.282610,-212.075378418
1470,2016-02-11T00:56:16.474202,-211.683303833
1480,2016-02-11T00:56:16.686987,-206.348419189
1490,2016-02-11T00:56:16.827181,-210.344711304
1500,2016-02-11T00:56:23.258170,-213.089767456
1510,2016-02-11T00:56:23.374497,-216.803359985
1520,2016-02-11T00:56:23.491101,-216.389175415
1530,2016-02-11T00:56:23.611647,-211.928009033
1540,2016-02-11T00:56:23.729910,-212.528182983
1550,2016-02-11T00:56:23.861876,-213.294174194
1560,2016-02-11T00:56:23.984870,-209.766464233
1570,2016-02-11T00:56:24.143467,-204.678161621
1580,2016-02-11T00:56:24.264702,-214.634689331
1590,2016-02-11T00:56:24.392028,-211.178619385
1600,2016-02-11T00:56:24.517356,-215.683059692
1610,2016-02-11T00:56:24.646627,-216.610855103
1620,2016-02-11T00:56:24.776210,-213.818664551
1630,2016-02-11T00:56:24.932710,-212.491989136
1640,2016-02-11T00:56:25.065980,-218.463668823
1650,2016-02-11T00:56:25.823797,-218.12713623
1660,2016-02-11T00:56:25.969162,-210.477340698
1670,2016-02-11T00:56:26.157247,-209.451156616
1680,2016-02-11T00:56:26.305257,-215.966110229
1690,2016-02-11T00:56:26.565692,-219.136810303
1700,2016-02-11T00:56:26.797027,-220.691101074
1710,2016-02-11T00:56:26.944002,-212.118362427
1720,2016-02-11T00:56:27.088999,-211.462600708
1730,2016-02-11T00:56:27.239420,-214.268066406
1740,2016-02-11T00:56:27.395177,-212.231811523
1750,2016-02-11T00:56:27.549292,-210.224960327
1760,2016-02-11T00:56:27.701145,-213.4790802
1770,2016-02-11T00:56:27.884923,-208.455612183
1780,2016-02-11T00:56:28.042375,-211.782043457
1790,2016-02-11T00:56:28.200982,-223.278366089
1800,2016-02-11T00:56:28.357755,-203.040786743
1810,2016-02-11T00:56:28.515774,-208.404571533
1820,2016-02-11T00:56:28.677900,-215.756011963
1830,2016-02-11T00:56:28.851483,-211.404876709
1840,2016-02-11T00:56:29.013336,-212.12260437
1850,2016-02-11T00:56:29.173073,-210.624023438
1860,2016-02-11T00:56:29.344418,-204.494644165
1870,2016-02-11T00:56:29.510364,-206.745880127
1880,2016-02-11T00:56:29.674323,-214.438079834
1890,2016-02-11T00:56:29.863681,-209.795059204
1900,2016-02-11T00:56:30.033484,-213.650253296
1910,2016-02-11T00:56:30.198348,-202.972366333
1920,2016-02-11T00:56:30.368781,-221.403625488
1930,2016-02-11T00:56:30.588228,-211.487884521
1940,2016-02-11T00:56:30.789139,-217.837188721
1950,2016-02-11T00:56:30.977816,-202.921463013
1960,2016-02-11T00:56:31.175389,-214.003967285
1970,2016-02-11T00:56:31.359810,-215.045455933
1980,2016-02-11T00:56:31.651315,-213.142578125
1990,2016-02-11T00:56:31.897977,-212.477905273
2000,2016-02-11T00:56:38.710334,-215.850540161
2010,2016-02-11T00:56:38.899409,-217.174987793
2020,2016-02-11T00:56:39.074912,-210.878860474
2030,2016-02-11T00:56:39.251708,-203.271179199
2040,2016-02-11T00:56:39.429759,-211.675933838
2050,2016-02-11T00:56:39.610138,-206.084747314
2060,2016-02-11T00:56:39.783354,-212.644927979
2070,2016-02-11T00:56:39.977252,-211.907836914
2080,2016-02-11T00:56:40.151063,-214.445877075
2090,2016-02-11T00:56:40.333922,-214.690979004
2100,2016-02-11T00:56:40.513024,-215.402114868
2110,2016-02-11T00:56:40.708013,-216.874206543
2120,2016-02-11T00:56:40.903047,-205.181503296
2130,2016-02-11T00:56:41.120456,-208.179260254
2140,2016-02-11T00:56:41.319199,-209.204437256
2150,2016-02-11T00:56:41.631445,-209.531311035
2160,2016-02-11T00:56:41.858987,-209.393737793
2170,2016-02-11T00:56:42.041802,-220.213180542
2180,2016-02-11T00:56:42.227077,-217.612091064
2190,2016-02-11T00:56:42.409886,-194.60736084
2200,2016-02-11T00:56:43.238836,-214.038452148
2210,2016-02-11T00:56:43.427228,-209.526031494
2220,2016-02-11T00:56:43.607095,-212.442077637
2230,2016-02-11T00:56:43.788546,-208.41947937
2240,2016-02-11T00:56:43.993459,-205.272598267
2250,2016-02-11T00:56:44.186372,-215.872085571
